PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
CHRISTIAN MCCAFFREY,SF,1,3,1.2,0.5
BIJAN ROBINSON,ATL,1,5,2.5,0.7
BREECE HALL,NYJ,1,5,2.5,0.7
JONATHAN TAYLOR,IND,2,7,4.4,1.1
DERRICK HENRY,BAL,4,13,6.5,1.6
SAQUON BARKLEY,PHI,4,11,6.6,1.6
JAHMYR GIBBS,DET,5,14,7.1,2.2
KYREN WILLIAMS,LAR,4,13,7.6,1.9
TRAVIS ETIENNE,JAC,4,14,9.4,1.9
ISIAH PACHECO,KC,6,14,9.7,1.7
DEVON ACHANE,MIA,4,20,11.6,3.3
KENNETH WALKER,SEA,7,20,13.3,2.9
JOSH JACOBS,GB,9,27,13.4,3.3
JOE MIXON,HOU,7,22,14.0,2.3
JAMES COOK,BUF,8,23,14.6,2.5
RACHAAD WHITE,TB,10,22,15.5,2.0
DAVID MONTGOMERY,DET,8,24,17.0,2.8
JAMES CONNER,ARI,11,27,19.2,3.2
ALVIN KAMARA,NO,15,34,20.4,4.0
RHAMONDRE STEVENSON,NE,15,30,21.2,3.1
AARON JONES,MIN,15,28,21.3,2.8
NAJEE HARRIS,PIT,13,30,21.9,3.0
ZAMIR WHITE,LV,13,33,22.3,4.0
RAHEEM MOSTERT,MIA,18,31,23.1,3.5
DANDRE SWIFT,CHI,16,37,24.9,3.5
BRIAN ROBINSON,WAS,20,37,27.6,3.7
TONY POLLARD,TEN,21,40,27.6,3.7
JAVONTE WILLIAMS,DEN,16,39,29.7,4.5
DEVIN SINGLETARY,NYG,22,39,29.9,3.5
JAYLEN WARREN,PIT,22,45,30.8,3.9
ZACK MOSS,CIN,18,42,31.4,4.6
GUS EDWARDS,LAC,21,41,33.2,4.4
JONATHON BROOKS,CAR,21,63,33.7,8.0
TYJAE SPEARS,TEN,24,46,33.8,3.2
NICK CHUBB,CLE,22,55,34.8,6.4
CHASE BROWN,CIN,26,57,35.2,5.1
EZEKIEL ELLIOTT,DAL,26,56,37.9,6.0
AUSTIN EKELER,WAS,27,52,38.0,5.2
JEROME FORD,CLE,29,46,38.7,3.8
BLAKE CORUM,LAR,33,56,40.8,3.8
TREY BENSON,ARI,25,53,41.1,5.2
CHUBA HUBBARD,CAR,30,56,43.2,5.0
RICO DOWDLE,DAL,32,59,43.6,6.1
ZACH CHARBONNET,SEA,36,50,43.9,3.8
TY CHANDLER,MIN,33,59,45.1,5.1
TYLER ALLGEIER,ATL,34,57,46.3,4.3
JK DOBBINS,LAC,29,76,47.7,7.0
JALEEL MCLAUGHLIN,DEN,35,61,48.8,5.3
ANTONIO GIBSON,NE,38,66,49.3,4.3
KHALIL HERBERT,CHI,35,68,50.2,6.5
MARSHAWN LLOYD,GB,35,85,52.0,8.1
KENDRE MILLER,NO,44,77,54.0,6.9
KINGSTON DAVIS,BUF,42,105,55.7,10.0
ROSCHON JOHNSON,CHI,44,80,57.5,7.6
JAYLEN WRIGHT,MIA,39,101,54.8,10.4
ELIJAH MITCHELL,SF,45,81,56.6,6.2
BRAELON ALLEN,NYJ,42,95,58.8,8.0
DAMEON PIERCE,HOU,49,75,57.7,4.8
MARKEISE IRVING,TB,44,103,60.8,8.7
AUDRIC ESTIME,DEN,53,102,64.6,8.1
DONTA FOREMAN,CLE,42,84,62.1,6.4
ALEXANDER MATTISON,LV,51,100,62.7,7.2
AJ DILLON,GB,45,82,63.5,7.9
KEATON MITCHELL,BAL,44,94,66.1,8.7
CLYDE EDWARDS-HELAIRE,KC,55,90,68.8,5.7
CARTAVIOUS BIGSBY,JAC,53,93,66.5,6.8
MILES SANDERS,CAR,51,89,68.3,7.5
KENNY GAINWELL,PHI,55,81,68.4,6.3
JUSTICE HILL,BAL,53,86,69.3,6.4
JAMAAL WILLIAMS,NO,52,88,68.5,6.3
WILL SHIPLEY,PHI,58,104,71.3,7.9
KIMANI VIDAL,LAC,47,106,65.1,10.5
TYRONE TRACY,NYG,45,99,64.6,11.6
JORDAN MASON,SF,47,117,72.6,11.2
DYLAN LAUBE,LV,54,106,77.9,10.9
TREY SERMON,IND,53,94,74.6,9.2
SAMAJE PERINE,DEN,67,92,77.5,4.9
ERIC GRAY,NYG,55,99,80.1,9.6
EVAN HULL,IND,72,102,81.0,5.8
DERNEST JOHNSON,JAC,63,95,83.0,5.6
PIERRE STRONG,CLE,64,129,82.8,8.9
CHRISTOPHER RODRIGUEZ,WAS,71,105,86.3,6.0
DEUCE VAUGHN,DAL,73,142,83.2,9.4
CORDARRELLE PATTERSON,PIT,60,153,86.3,10.8
MICHAEL CARTER,ARI,68,168,85.2,11.9
ISAAC GUERENDO,SF,66,162,83.5,12.4
JEFFERY WILSON,MIA,63,131,83.6,10.1
CHASE EDMONDS,TB,74,110,90.1,6.2
EMARI DEMERCADO,ARI,74,106,91.8,7.6
