PLAYER NAME,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
CEEDEE LAMB,31,29.8,17,33.3
DAVANTE ADAMS,29,40.8,15,42.9
CALVIN RIDLEY,26,41.3,13,43.3
TYREEK HILL,24,35.8,16,36.4
JAKE FERGUSON,23,22.1,12,23.5
DK METCALF,23,35.4,9,37.5
AMON-RA ST BROWN,23,35.4,12,34.3
RASHEE RICE,22,25.0,11,22.9
JAMARR CHASE,19,25.7,10,27.0
TRAVIS KELCE,19,21.6,10,20.8
MICHAEL PITTMAN,19,32.2,4,16.0
ROMEO DOUBS,18,20.0,9,24.3
COOPER KUPP,18,24.7,8,19.5
DEANDRE HOPKINS,17,36.2,10,43.5
DAVID NJOKU,17,26.6,10,34.5
DEEBO SAMUEL,17,24.3,3,11.5
COURTLAND SUTTON,17,26.2,7,20.0
GARRETT WILSON,17,34.7,11,35.5
CHRIS GODWIN,16,27.1,11,37.9
DRAKE LONDON,16,29.6,8,28.6
CHRISTIAN MCCAFFREY,16,22.9,8,30.8
PUKA NACUA,16,21.9,8,19.5
JORDAN ADDISON,15,19.0,9,19.1
AJ BROWN,15,30.6,7,41.2
NICO COLLINS,15,22.1,9,25.0
STEFON DIGGS,15,24.2,5,18.5
COLE KMET,15,26.8,6,23.1
SAM LAPORTA,15,23.1,10,28.6
JAKOBI MEYERS,15,21.1,9,25.7
CURTIS SAMUEL,15,23.4,7,20.0
MARK ANDREWS,14,21.9,7,22.6
MIKE EVANS,14,23.7,8,27.6
JAYDEN REED,14,15.6,8,21.6
ADAM THIELEN,14,38.9,9,40.9
AMARI COOPER,13,20.3,5,17.2
ZAY FLOWERS,13,20.3,6,19.4
JOE MIXON,13,17.6,6,16.2
ELIJAH MOORE,13,20.3,6,20.7
DALTON SCHULTZ,13,19.1,5,13.9
ADAM TRAUTMAN,13,20.0,9,25.7
CHRISTIAN WATSON,13,14.4,7,18.9
KEENAN ALLEN,12,16.4,11,25.0
BRANDIN COOKS,12,11.5,9,17.6
GEORGE KITTLE,12,17.1,4,15.4
TYLER LOCKETT,12,18.5,5,20.8
TONY POLLARD,12,11.5,2,3.9
KYREN WILLIAMS,12,16.4,4,9.8
ODELL BECKHAM,11,17.2,7,22.6
GABRIEL DAVIS,11,17.7,5,18.5
JAHAN DOTSON,11,17.2,7,20.0
JUSTIN JEFFERSON,11,13.9,7,14.9
ALEXANDER MATTISON,11,13.9,6,12.8
TREY MCBRIDE,11,19.0,7,26.9
DJ MOORE,11,19.6,7,26.9
CHRIS OLAVE,11,16.9,6,18.2
GERALD EVERETT,10,13.7,7,15.9
DALLAS GOEDERT,10,20.4,3,17.6
TJ HOCKENSON,10,12.7,7,14.9
JERRY JEUDY,10,15.4,5,14.3
DIONTAE JOHNSON,10,23.8,4,22.2
AARON JONES,10,11.1,2,5.4
ZAY JONES,10,15.9,5,16.7
KJ OSBORN,10,12.7,6,12.8
CADE OTTON,10,16.9,3,10.3
DONALD PARHAM,10,13.7,7,15.9
JOSH REYNOLDS,10,15.4,6,17.1
BIJAN ROBINSON,10,18.5,6,21.4
JAXON SMITH-NJIGBA,10,15.4,5,20.8
ROBERT WOODS,10,14.7,4,11.1
BRANDON AIYUK,9,12.9,4,15.4
MARQUISE BROWN,9,15.5,4,15.4
TYLER CONKLIN,9,18.4,8,25.8
JOSH DOWNS,9,15.3,5,20.0
AUSTIN EKELER,9,12.3,2,4.5
EVAN ENGRAM,9,14.3,4,13.3
TEE HIGGINS,9,12.2,4,10.8
DALTON KINCAID,9,14.5,4,14.8
JOSH PALMER,9,12.3,5,11.4
DEMARCUS ROBINSON,9,12.3,7,17.1
JONNU SMITH,9,16.7,5,17.9
LOGAN THOMAS,9,14.1,6,17.1
MICHAEL THOMAS,9,13.8,5,15.2
NATHANIEL DELL,8,11.8,3,8.3
QUENTIN JOHNSTON,8,11.0,4,9.1
ALVIN KAMARA,8,12.3,1,3.0
DAWSON KNOX,8,12.9,5,18.5
TERRY MCLAURIN,8,12.5,3,8.6
ISIAH PACHECO,8,9.1,5,10.4
COLBY PARKINSON,8,12.3,4,16.7
GEORGE PICKENS,8,19.0,3,16.7
JAYLEN WADDLE,8,11.9,6,13.6
RACHAAD WHITE,8,13.6,3,10.3
DONTAYVION WICKS,8,8.9,2,5.4
NELSON AGHOLOR,7,10.9,2,6.5
TYLER BOYD,7,9.5,4,10.8
NOAH BROWN,7,10.3,5,13.9
ZACH ERTZ,7,12.1,2,7.7
JAHMYR GIBBS,7,10.8,5,14.3
JUWAN JOHNSON,7,10.8,3,9.1
TUCKER KRAFT,7,7.8,3,8.1
ISAIAH LIKELY,7,10.9,3,9.7
MICHAEL MAYER,7,9.9,2,5.7
DARNELL MOONEY,7,12.5,5,19.2
SKYY MOORE,7,8.0,2,4.2
RASHID SHAHEED,7,10.8,2,6.1
STERLING SHEPARD,7,21.2,3,25.0
CEDRIC TILLMAN,7,10.9,2,6.9
MICHAEL WILSON,7,12.1,4,15.4
DEVON ACHANE,6,9.0,5,11.4
KENDRICK BOURNE,6,16.7,3,23.1
DJ CHARK,6,16.7,3,13.6
JAMES COOK,6,9.7,3,11.1
JEROME FORD,6,9.4,2,6.9
PAT FREIERMUTH,6,14.3,2,11.1
MIKE GESICKI,6,16.7,2,15.4
HUNTER HENRY,6,16.7,4,30.8
TRENTON IRWIN,6,8.1,4,10.8
JOSH JACOBS,6,8.5,3,8.6
BRANDON JOHNSON,6,9.2,3,8.6
RAHEEM MOSTERT,6,9.0,3,6.8
CHIGOZIEM OKONKWO,6,12.8,3,13.0
ALEC PIERCE,6,10.2,2,8.0
