TEAM,QB,RB,WR,TE,K,DEF
SF,1,10,2,12,17,9
DAL,2,5,1,29,7,1
MIN,3,26,10,3,31,31
CHI,4,18,9,20,10,18
CAR,5,32,17,4,9,32
GB,6,29,5,8,22,19
KC,7,3,8,5,18,20
BAL,8,20,12,6,11,23
NYG,9,13,4,25,19,10
ARI,10,25,7,11,20,16
NO,11,27,15,13,2,11
SEA,12,23,3,27,13,7
WAS,13,16,13,16,27,6
ATL,14,7,20,15,6,14
NYJ,15,22,16,28,30,5
BUF,16,12,14,17,24,3
PHI,17,15,6,31,23,2
TEN,18,11,28,2,15,29
DEN,19,19,19,30,32,8
LAR,20,1,11,22,16,22
LV,21,9,18,10,25,25
TB,22,28,21,18,3,26
DET,23,14,24,9,28,27
NE,24,8,25,14,21,13
CLE,25,4,26,1,4,30
IND,26,31,22,21,8,15
HOU,27,2,31,7,1,17
PIT,28,17,23,23,14,12
LAC,29,21,30,24,29,21
CIN,30,24,27,26,26,24
JAC,31,30,32,19,5,28
MIA,32,6,29,32,12,4
