NAME,ADP
CHRISTIAN MCCAFFREY,1.5
CEEDEE LAMB,1.5
TYREEK HILL,3.0
JUSTIN JEFFERSON,5.0
BREECE HALL,5.5
BIJAN ROBINSON,5.5
JAMARR CHASE,6.5
AMON-RA ST BROWN,7.5
AJ BROWN,9.5
JONATHAN TAYLOR,10.5
SAQUON BARKLEY,11.0
GARRETT WILSON,12.0
JAHMYR GIBBS,12.0
PUKA NACUA,14.0
KYREN WILLIAMS,15.5
TRAVIS ETIENNE,16.0
MARVIN HARRISON,17.0
DAVANTE ADAMS,18.0
DRAKE LONDON,20.5
DERRICK HENRY,20.5
DEVON ACHANE,21.0
JOSH ALLEN,22.5
CHRIS OLAVE,24.0
ISIAH PACHECO,24.5
JOSH JACOBS,24.5
DEEBO SAMUEL,25.5
SAM LAPORTA,28.0
TRAVIS KELCE,29.5
NICO COLLINS,30.0
JALEN HURTS,31.5
PATRICK MAHOMES,33.5
RACHAAD WHITE,34.0
BRANDON AIYUK,34.5
MICHAEL PITTMAN,35.0
MIKE EVANS,35.5
JAYLEN WADDLE,35.5
JAMES COOK,36.5
STEFON DIGGS,36.5
COOPER KUPP,38.0
DJ MOORE,39.0
DK METCALF,39.5
LAMAR JACKSON,40.0
ALVIN KAMARA,43.0
MALIK NABERS,43.5
KENNETH WALKER,44.5
JOE MIXON,45.0
DEVONTA SMITH,45.0
TREY MCBRIDE,48.0
DALTON KINCAID,49.0
MARK ANDREWS,49.0
CJ STROUD,49.5
ANTHONY RICHARDSON,52.5
GEORGE PICKENS,55.0
AMARI COOPER,56.5
AARON JONES,57.0
ZAY FLOWERS,57.5
TEE HIGGINS,58.0
RHAMONDRE STEVENSON,59.5
JAMES CONNER,59.5
DANDRE SWIFT,60.0
JOE BURROW,62.5
KYLE PITTS,63.5
GEORGE KITTLE,65.0
DAVID MONTGOMERY,65.5
KEENAN ALLEN,65.5
NATHANIEL DELL,66.5
ZAMIR WHITE,67.0
TERRY MCLAURIN,67.0
NAJEE HARRIS,68.5
CHRISTIAN KIRK,70.0
JORDAN LOVE,71.0
CHRIS GODWIN,71.0
EVAN ENGRAM,71.0
KYLER MURRAY,71.5
DAK PRESCOTT,73.5
CALVIN RIDLEY,78.0
RAHEEM MOSTERT,78.5
JAYDEN REED,79.5
TONY POLLARD,80.5
RASHEE RICE,82.5
ZACK MOSS,83.5
JAYLEN WARREN,86.0
DEVIN SINGLETARY,86.5
XAVIER WORTHY,87.0
JAVONTE WILLIAMS,88.0
DIONTAE JOHNSON,88.0
DAVID NJOKU,88.0
JONATHON BROOKS,88.0
JAKE FERGUSON,88.5
AUSTIN EKELER,90.0
NICK CHUBB,90.5
MARQUISE BROWN,92.0
LADD MCCONKEY,94.0
BRIAN ROBINSON,95.0
BROCK BOWERS,95.5
CHRISTIAN WATSON,96.5
BROCK PURDY,96.5
DEANDRE HOPKINS,97.0
ROME ODUNZE,97.5
JORDAN ADDISON,97.5
TYJAE SPEARS,101.0
CALEB WILLIAMS,101.5
KEON COLEMAN,102.0
JAYDEN DANIELS,104.0
TUA TAGOVAILOA,104.5
JAXON SMITH-NJIGBA,105.0
JARED GOFF,105.5
TREY BENSON,106.0
EZEKIEL ELLIOTT,107.0
CHASE BROWN,108.0
DALLAS GOEDERT,110.5
JEROME FORD,112.0
BLAKE CORUM,112.5
JAMESON WILLIAMS,113.0
GUS EDWARDS,114.0
COURTLAND SUTTON,114.0
TJ HOCKENSON,116.0
CURTIS SAMUEL,116.5
BRIAN THOMAS,117.0
JUSTIN HERBERT,121.0
TREVOR LAWRENCE,121.5
JK DOBBINS,122.0
DALTON SCHULTZ,124.0
PAT FREIERMUTH,124.0
ZACH CHARBONNET,124.5
KHALIL SHAKIR,127.5
ROMEO DOUBS,129.0
COLE KMET,129.0
CHUBA HUBBARD,129.5
