PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_TGT,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
1,1,SAM LAPORTA,DET,14.1,7.1,5.1,52.3,0.6,0.1,0.2,0.0
2,1,TRAVIS KELCE,KC,14.6,8.1,6.2,65.6,0.3,0.0,0.0,0.0
3,1,TREY MCBRIDE,ARI,10.7,6.2,4.8,48.5,0.2,0.0,0.0,0.0
4,2,MARK ANDREWS,BAL,13.5,6.1,4.5,54.4,0.6,0.1,0.0,0.0
5,2,DALTON KINCAID,BUF,9.4,5.7,4.6,42.1,0.1,0.0,0.0,0.0
6,2,EVAN ENGRAM,JAC,13.5,8.4,6.7,56.6,0.2,0.0,0.0,0.0
7,2,KYLE PITTS,ATL,8.1,5.3,3.1,39.2,0.2,0.1,-0.2,0.0
8,2,GEORGE KITTLE,SF,12.7,5.6,4.1,63.8,0.4,0.1,0.1,0.0
9,2,JAKE FERGUSON,DAL,10.4,6.0,4.2,44.8,0.3,0.0,0.0,0.0
10,3,DAVID NJOKU,CLE,12.6,7.7,5.1,55.1,0.4,0.0,0.0,0.0
11,3,BROCK BOWERS,LV,0,0,0,0,0,0,0,0
12,3,DALLAS GOEDERT,PHI,9.7,5.9,4.2,42.3,0.2,0.1,0.1,0.0
13,3,PAT FREIERMUTH,PIT,6.4,3.9,2.7,25.7,0.2,0.0,0.0,0.0
14,3,DALTON SCHULTZ,HOU,10.0,5.9,3.9,42.3,0.3,0.0,0.0,0.0
15,3,TJ HOCKENSON,MIN,14.6,8.5,6.3,64.0,0.3,0.0,0.0,0.0
16,3,LUKE MUSGRAVE,GB,6.8,4.2,3.1,32.0,0.1,0.0,0.0,0.0
17,3,COLE KMET,CHI,10.7,5.3,4.3,42.3,0.4,0.2,0.1,0.0
18,4,TYLER CONKLIN,NYJ,7.2,5.1,3.6,36.5,0.0,0.1,0.0,0.0
19,4,HUNTER HENRY,NE,8.6,4.4,3.0,29.9,0.4,0.0,0.0,0.0
20,4,CADE OTTON,TB,6.9,3.9,2.8,26.8,0.2,0.0,0.0,0.0
21,4,TAYSOM HILL,NO,9.0,2.5,2.1,18.2,0.1,5.1,25.1,0.3
22,4,NOAH FANT,SEA,4.3,2.5,1.9,24.4,0.0,0.0,0.0,0.0
23,4,CHIGOZIEM OKONKWO,TEN,6.7,4.5,3.2,31.1,0.1,0.1,0.4,0.0
