PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
1,1,SAM LAPORTA,DET,1,6,1.8,1.1
2,1,TRAVIS KELCE,KC,1,6,1.9,1.0
3,1,TREY MCBRIDE,ARI,1,6,3.5,1.1
4,1,MARK ANDREWS,BAL,1,7,4.1,1.7
5,2,DALTON KINCAID,BUF,3,12,5.1,1.6
6,2,EVAN ENGRAM,JAC,4,9,5.2,1.0
7,2,KYLE PITTS,ATL,6,15,8.2,1.7
8,2,GEORGE KITTLE,SF,6,10,8.4,1.3
9,2,JAKE FERGUSON,DAL,5,14,9.3,1.6
10,2,DAVID NJOKU,CLE,5,14,9.3,1.9
11,3,DALLAS GOEDERT,PHI,7,15,11.2,1.8
12,3,BROCK BOWERS,LV,7,30,12.6,3.8
13,3,TJ HOCKENSON,MIN,9,23,14.2,3.1
14,3,PAT FREIERMUTH,PIT,10,20,14.4,2.3
15,3,DALTON SCHULTZ,HOU,11,20,14.6,2.0
16,3,COLE KMET,CHI,11,20,15.2,2.1
17,3,LUKE MUSGRAVE,GB,12,29,17.5,2.9
18,4,HUNTER HENRY,NE,15,31,18.9,2.6
19,4,CADE OTTON,TB,17,30,21.1,2.8
20,4,CHIGOZIEM OKONKWO,TEN,16,40,22.3,4.4
21,4,TYLER CONKLIN,NYJ,14,38,23.2,4.7
22,4,JUWAN JOHNSON,NO,17,34,23.5,4.0
23,4,TUCKER KRAFT,GB,15,42,25.8,5.8
24,4,BEN SINNOTT,WAS,13,39,25.8,5.7
25,4,NOAH FANT,SEA,16,39,24.5,4.2
26,4,ISAIAH LIKELY,BAL,17,41,27.2,4.7
27,4,MICHAEL MAYER,LV,16,50,29.3,6.2
28,4,TAYSOM HILL,NO,15,48,26.9,6.2
29,4,MIKE GESICKI,CIN,21,36,29.1,3.5
30,5,JATAVION SANDERS,CAR,18,42,30.1,4.8
31,5,DAWSON KNOX,BUF,25,42,33.0,3.2
32,5,JELANI WOODS,IND,20,45,31.8,4.8
33,5,GERALD EVERETT,CHI,21,52,32.5,5.7
34,5,TYLER HIGBEE,LAR,23,47,33.3,5.5
35,5,ZACH ERTZ,WAS,17,61,32.9,6.8
36,5,JONNU SMITH,MIA,16,60,28.4,7.9
37,5,GREG DULCICH,DEN,22,45,31.5,4.9
38,6,DANIEL BELLINGER,NYG,23,46,34.1,5.2
39,6,THEO JOHNSON,NYG,30,45,38.0,3.3
40,6,COLBY PARKINSON,LAR,27,59,36.4,6.0
41,6,HAYDEN HURST,LAC,27,48,37.4,5.5
42,6,DONALD PARHAM,LAC,36,73,44.2,6.8
43,6,LOGAN THOMAS,SF,31,77,43.7,12.8
