PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,TGT,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS
1,1,SAM LAPORTA,DET,239.3,120,86,889,10,1,4,0
2,1,TRAVIS KELCE,KC,219.4,121,93,984,5,0,0,0
3,1,TREY MCBRIDE,ARI,181.5,106,81,825,3,0,0,0
4,2,MARK ANDREWS,BAL,135.4,61,45,544,6,1,0,0
5,2,DALTON KINCAID,BUF,150.3,91,73,673,2,0,0,0
6,2,EVAN ENGRAM,JAC,230.3,143,114,963,4,0,0,0
7,2,KYLE PITTS,ATL,137.3,90,53,667,3,1,-4,0
8,2,GEORGE KITTLE,SF,203.2,90,65,1020,6,1,2,0
9,2,DAVID NJOKU,CLE,201.2,123,81,882,6,0,0,0
10,3,JAKE FERGUSON,DAL,177.1,102,71,761,5,0,0,0
11,3,DALLAS GOEDERT,PHI,136.3,83,59,592,3,1,1,0
12,3,BROCK BOWERS,LV,0,0,0,0,0,0,0,0
13,3,TJ HOCKENSON,MIN,219,127,95,960,5,0,0,0
14,3,DALTON SCHULTZ,HOU,150.5,88,59,635,5,0,0,0
15,3,PAT FREIERMUTH,PIT,76.8,47,32,308,2,0,0,0
16,3,COLE KMET,CHI,181.1,90,73,719,6,3,2,0
17,4,LUKE MUSGRAVE,GB,75.2,46,34,352,1,0,0,0
18,4,HUNTER HENRY,NE,119.9,61,42,419,6,0,0,0
19,4,CADE OTTON,TB,116.5,67,47,455,4,0,0,0
20,4,JUWAN JOHNSON,NO,97.8,59,37,368,4,0,0,0
21,4,CHIGOZIEM OKONKWO,TEN,113.4,77,54,528,1,2,6,0
22,4,TYLER CONKLIN,NYJ,123.1,87,61,621,0,1,0,0
23,4,TUCKER KRAFT,GB,78.5,40,31,355,2,0,0,0
24,4,BEN SINNOTT,WAS,0,0,0,0,0,0,0,0
25,4,ISAIAH LIKELY,BAL,101.1,40,30,411,5,0,0,0
26,5,NOAH FANT,SEA,73.4,43,32,414,0,0,0,0
27,5,MICHAEL MAYER,LV,71.4,40,27,304,2,0,0,0
28,5,MIKE GESICKI,CIN,65.4,45,29,244,2,0,0,0
29,5,TAYSOM HILL,NO,143.5,40,33,291,2,81,401,4
30,5,JATAVION SANDERS,CAR,0,0,0,0,0,0,0,0
31,5,DAWSON KNOX,BUF,54.6,36,22,186,2,0,0,0
32,5,TYLER HIGBEE,LAR,108.5,70,47,495,2,0,0,0
33,5,JELANI WOODS,IND,0,0,0,0,0,0,0,0
34,5,GERALD EVERETT,CHI,111.1,70,51,411,3,3,10,0
35,6,GREG DULCICH,DEN,5.5,4,3,25,0,0,0,0
36,6,ZACH ERTZ,WAS,51.7,43,27,187,1,0,0,0
37,6,JONNU SMITH,MIA,124.2,70,50,582,3,1,0,0
38,6,DANIEL BELLINGER,NYG,50.5,28,25,255,0,0,0,0
39,6,THEO JOHNSON,NYG,0,0,0,0,0,0,0,0
40,6,COLBY PARKINSON,LAR,61.7,34,25,247,2,0,0,0
41,6,HAYDEN HURST,LAC,42.4,32,18,184,1,0,0,0
42,6,DONALD PARHAM,LAC,79.5,41,27,285,4,0,0,0
43,6,LOGAN THOMAS,SF,126.8,78,55,496,4,1,2,0
44,7,NOAH GRAY,KC,70.6,41,28,305,2,1,1,0
45,7,KYLEN GRANSON,IND,73,50,30,368,1,1,2,0
46,7,TANNER HUDSON,CIN,80.2,50,39,352,1,0,0,0
47,7,JEREMY RUCKERT,NYJ,31.1,22,16,151,0,0,0,0
48,7,ERICK ALL,CIN,0,0,0,0,0,0,0,0
49,7,BREVIN JORDAN,HOU,50.9,21,17,219,2,0,0,0
50,7,CADE STOVER,HOU,0,0,0,0,0,0,0,0
51,7,WILL DISSLY,LAC,40.2,22,17,172,1,0,0,0
52,7,JAHEIM BELL,NE,0,0,0,0,0,0,0,0
53,7,DARREN WALLER,FA,113.2,74,52,552,1,0,0,0
54,7,JOHN MUNDT,MIN,40.2,23,17,172,1,0,0,0
55,7,JOSH OLIVER,MIN,53.3,28,22,213,2,0,0,0
56,7,DARNELL WASHINGTON,PIT,13.1,10,7,61,0,0,0,0
57,7,AUSTIN HOOPER,NE,48.4,31,25,234,0,0,0,0
58,7,DURHAM SMYTHE,MIA,71.6,43,35,366,0,0,0,0
59,7,WILL MALLORY,IND,38.7,26,18,207,0,0,0,0
60,7,TOMMY TREMBLE,CAR,60.4,32,23,194,3,0,0,0
61,7,ADAM TRAUTMAN,DEN,60.4,35,22,204,3,0,0,0
62,7,COLE TURNER,WAS,23,15,11,120,0,0,0,0
63,7,FOSTER MOREAU,NO,46.3,25,21,193,1,0,0,0
64,8,JARED WILEY,KC,0,0,0,0,0,0,0,0
65,8,AJ BARNER,SEA,0,0,0,0,0,0,0,0
66,8,DAVIS ALLEN,LAR,25.5,11,10,95,1,0,0,0
67,8,TIP REIMAN,ARI,0,0,0,0,0,0,0,0
68,8,BROCK WRIGHT,DET,28.1,14,13,91,1,0,0,0
69,8,LUKE SCHOONMAKER,DAL,26.5,15,8,65,2,0,0,0
70,8,IRV SMITH,KC,33.5,26,18,115,1,0,0,0
71,8,HARRISON BRYANT,LV,37.9,20,13,81,3,5,8,0
72,8,JOSH WHYLE,TEN,24.4,15,9,94,1,0,0,0
73,8,JORDAN AKINS,CLE,28.2,23,15,132,0,0,0,0
74,8,BRENTON STRANGE,JAC,14.5,9,5,35,1,0,0,0
75,8,LUCAS KRULL,DEN,23.5,14,8,95,1,0,0,0
76,8,MO ALIE-COX,IND,49.1,22,13,161,3,0,0,0
77,8,PHARAOH BROWN,SEA,37.8,15,13,208,1,0,0,0
78,8,LUKE FARRELL,JAC,28.5,15,13,155,0,0,0,0
79,9,JOHN BATES,WAS,34.1,28,19,151,0,0,0,0
80,9,ELIJAH HIGGINS,ARI,36.3,19,14,163,1,0,0,0
81,9,PEYTON HENDERSHOT,DAL,7.8,7,4,38,0,1,0,0
82,9,CHARLIE KOLAR,BAL,21.7,9,7,87,1,0,0,0
83,9,ROBERT TONYAN,MIN,22.2,17,11,112,0,0,0,0
84,9,TANNER MCLACHLAN,CIN,0,0,0,0,0,0,0,0
85,9,CONNOR HEYWARD,PIT,39.7,34,23,167,0,1,0,0
86,9,DREW SAMPLE,CIN,50.3,27,22,163,2,0,0,0
87,9,IAN THOMAS,CAR,10.6,9,5,56,0,0,0,0
88,9,STONE SMARTT,LAC,32.5,21,11,155,1,0,0,0
89,9,CHARLIE WOERNER,ATL,6.2,3,3,32,0,0,0,0
90,9,ANDREW OGLETREE,IND,35.7,21,9,147,2,0,0,0
91,9,JOE FORTSON,MIA,0,0,0,0,0,0,0,0
92,9,PAYNE DURHAM,TB,10.8,7,5,58,0,0,0,0
93,9,MYCOLE PRUITT,PIT,26,12,9,110,1,0,0,0
94,9,JACK STOLL,NYG,8.8,8,5,38,0,0,0,0
95,9,KO KIEFT,TB,7.2,5,1,2,1,0,0,0
96,9,ZACK KUNTZ,NYJ,0,0,0,0,0,0,0,0
97,9,ALBERT OKWUEGBUNAM,PHI,0,1,0,0,0,0,0,0
98,9,JOSIAH DEGUARA,JAC,14.5,8,8,65,0,0,0,0
99,9,GEOFF SWAIM,FA,19.4,11,10,94,0,0,0,0
100,9,DALLIN HOLKER,NO,0,0,0,0,0,0,0,0
101,10,BRYCEN HOPKINS,FA,12.8,7,5,78,0,0,0,0
102,10,JAMES MITCHELL,DET,4.8,2,2,28,0,0,0,0
103,10,TYLER MABRY,SEA,0,0,0,0,0,0,0,0
104,10,JIMMY GRAHAM,FA,33.9,7,6,39,4,0,0,0
105,10,TUCKER FISK,FA,1.9,1,1,9,0,0,0,0
106,10,DANIEL MARX,FA,0,0,0,0,0,0,0,0
107,10,JULIAN HILL,MIA,8.8,9,6,48,0,0,0,0
108,10,DEVIN CULP,TB,0,0,0,0,0,0,0,0
109,10,CJ UZOMAH,PHI,19.8,12,8,58,1,0,0,0
110,10,STEPHEN SULLIVAN,CAR,24.5,24,12,125,0,0,0,0
111,10,QUINTIN MORRIS,BUF,10.6,3,2,26,1,0,0,0
112,10,BRYSON SUMLIN,FA,0,0,0,0,0,0,0,0
113,10,ROSS DWELLEY,ATL,2.2,2,1,12,0,0,0,0
114,10,JACK WESTOVER,SEA,0,0,0,0,0,0,0,0
115,10,CHRIS MANHERTZ,NYG,3.6,4,2,16,0,0,0,0
116,10,HUNTER LONG,LAR,0,0,0,0,0,0,0,0
117,10,TOMMY HUDSON,NO,0,0,0,0,0,0,0,0
118,10,TEAGAN QUITORIANO,HOU,5.3,3,2,33,0,0,0,0
119,10,ZAC PARKER,FA,0,0,0,0,0,0,0,0
120,10,JESPER HORSTED,NO,1.4,1,1,4,0,0,0,0
121,10,BREVYN SPANN-FORD,DAL,0,0,0,0,0,0,0,0
122,10,TREVON WESCO,FA,3.1,3,1,21,0,0,0,0
123,10,CAMERON LATU,SF,0,0,0,0,0,0,0,0
124,10,SEAN MCKEON,DET,0,2,0,0,0,0,0,0
125,10,MARCEDES LEWIS,CHI,12.9,5,4,29,1,0,0,0
126,10,BRAYDEN WILLIS,SF,0,0,0,0,0,0,0,0
127,10,GIOVANNI RICCI,CLE,1.2,1,1,2,0,0,0,0
128,10,KENNY YEBOAH,NYJ,4.8,4,2,28,0,0,0,0
129,10,STEPHEN CARLSON,CHI,0,0,0,0,0,0,0,0
130,11,GRANT CALCATERRA,PHI,7.9,4,4,39,0,0,0,0
131,11,NICK GUGGEMOS,FA,0,0,0,0,0,0,0,0
132,11,TYLER KROFT,FA,0,0,0,0,0,0,0,0
133,11,ANTHONY FIRKSER,FA,0,0,0,0,0,0,0,0
134,11,BEN SIMS,GB,12.1,6,4,21,1,0,0,0
135,11,TIM BOYLE,FA,0,0,0,0,0,0,0,0
136,11,BLAKE BELL,FA,11.6,9,5,26,1,0,0,0
137,11,MITCHELL WILCOX,NE,14.6,12,9,56,0,0,0,0
138,11,RODNEY WILLIAMS,PIT,0,2,0,0,0,0,0,0
139,11,NICK VANNETT,TEN,1.3,1,1,3,0,0,0,0
140,11,NATE ADKINS,DEN,6.2,5,4,22,0,0,0,0
141,11,ZACH GENTRY,LV,0,0,0,0,0,0,0,0
142,11,SHANE ZYLSTRA,DET,0,0,0,0,0,0,0,0
143,11,CURTIS HODGES,FA,0,0,0,0,0,0,0,0
144,11,ERIC SAUBERT,SF,4.2,3,3,12,0,0,0,0
145,11,NOAH TOGIAI,FA,0,0,0,0,0,0,0,0
