PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
SAM LAPORTA,DET,1,5,1.6,0.9
TRAVIS KELCE,KC,1,6,2.2,1.2
MARK ANDREWS,BAL,1,5,3.1,1.1
TREY MCBRIDE,ARI,2,8,4.3,1.8
GEORGE KITTLE,SF,4,11,5.0,1.0
KYLE PITTS,ATL,3,13,5.9,1.8
DALTON KINCAID,BUF,3,12,6.9,1.6
JAKE FERGUSON,DAL,7,11,8.7,1.2
DAVID NJOKU,CLE,5,13,9.0,2.1
EVAN ENGRAM,JAC,7,10,9.6,0.8
DALLAS GOEDERT,PHI,8,18,12.0,1.7
BROCK BOWERS,LV,7,24,12.2,2.9
PAT FREIERMUTH,PIT,9,19,13.6,2.1
DALTON SCHULTZ,HOU,11,20,14.0,1.8
COLE KMET,CHI,11,22,15.9,2.6
TJ HOCKENSON,MIN,10,23,16.6,3.1
LUKE MUSGRAVE,GB,13,25,18.0,2.4
HUNTER HENRY,NE,13,27,18.1,3.1
TAYSOM HILL,NO,11,44,20.7,5.5
CADE OTTON,TB,17,29,21.9,2.7
JUWAN JOHNSON,NO,17,32,22.9,3.9
TYLER CONKLIN,NYJ,15,35,23.1,4.2
ISAIAH LIKELY,BAL,17,37,24.0,4.3
CHIGOZIEM OKONKWO,TEN,18,42,24.2,4.1
NOAH FANT,SEA,16,36,25.3,4.5
BEN SINNOTT,WAS,16,39,26.8,4.9
MIKE GESICKI,CIN,22,36,28.8,3.2
TUCKER KRAFT,GB,17,42,27.3,6.1
JELANI WOODS,IND,18,46,29.1,4.9
MICHAEL MAYER,LV,16,50,30.2,6.1
DAWSON KNOX,BUF,24,38,31.3,3.5
GERALD EVERETT,CHI,25,53,34.3,5.1
JATAVION SANDERS,CAR,25,44,33.4,3.8
TYLER HIGBEE,LAR,27,50,36.6,4.9
ZACH ERTZ,WAS,19,62,34.9,6.7
JONNU SMITH,MIA,16,61,27.5,8.1
GREG DULCICH,DEN,19,52,31.9,7.0
COLBY PARKINSON,LAR,27,58,35.8,6.6
DANIEL BELLINGER,NYG,23,50,36.7,6.1
HAYDEN HURST,LAC,24,50,37.1,6.1
THEO JOHNSON,NYG,32,47,39.5,3.8
DONALD PARHAM,LAC,35,65,41.0,7.1
LOGAN THOMAS,SF,28,81,41.6,12.6
NOAH GRAY,KC,41,55,45.6,3.6
ERICK ALL,CIN,33,67,47.4,7.9
BREVIN JORDAN,HOU,39,65,49.0,7.0
TANNER HUDSON,CIN,35,59,45.8,5.9
KYLEN GRANSON,IND,39,67,47.1,6.3
JAHEIM BELL,NE,44,73,50.4,6.4
WILL DISSLY,LAC,34,60,45.7,7.0
JEREMY RUCKERT,NYJ,38,56,49.4,4.4
CADE STOVER,HOU,41,62,48.5,5.4
DAVIS ALLEN,LAR,32,70,46.8,12.8
AUSTIN HOOPER,NE,44,70,53.9,9.2
ADAM TRAUTMAN,DEN,45,69,53.9,6.4
COLE TURNER,WAS,43,69,55.0,7.8
JOHN MUNDT,MIN,42,57,49.7,4.8
JOSH OLIVER,MIN,39,59,50.3,6.3
DARNELL WASHINGTON,PIT,43,73,54.3,9.2
FOSTER MOREAU,NO,40,78,57.1,11.8
TOMMY TREMBLE,CAR,46,68,58.0,8.1
DURHAM SMYTHE,MIA,46,71,59.8,7.4
LUKE SCHOONMAKER,DAL,44,80,59.4,11.2
JARED WILEY,KC,43,64,55.7,6.5
AJ BARNER,SEA,51,66,57.5,6.7
IRV SMITH,KC,54,75,61.7,7.4
WILL MALLORY,IND,53,77,62.7,7.5
BROCK WRIGHT,DET,46,88,65.3,12.7
LUCAS KRULL,DEN,41,78,56.8,12.8
MO ALIE-COX,IND,52,75,64.8,10.2
TIP REIMAN,ARI,59,85,68.4,9.5
TANNER MCLACHLAN,CIN,46,91,68.6,16.2
PHARAOH BROWN,SEA,52,80,68.6,11.1
HARRISON BRYANT,LV,63,74,70.6,4.2
JORDAN AKINS,CLE,49,92,72.2,16.0
DALLIN HOLKER,NO,55,113,73.2,21.3
BRENTON STRANGE,JAC,61,88,74.0,8.7
JOSH WHYLE,TEN,68,85,76.0,6.2
ROBERT TONYAN,MIN,35,76,58.5,14.8
IAN THOMAS,CAR,41,106,77.6,22.8
DREW SAMPLE,CIN,66,91,78.8,8.2
CONNOR HEYWARD,PIT,59,95,80.2,12.6
LUKE FARRELL,JAC,65,96,84.2,10.4
CJ UZOMAH,PHI,69,142,98.0,27.1
JOHN BATES,WAS,72,112,86.5,16.0
STONE SMARTT,LAC,80,103,88.0,8.9
PEYTON HENDERSHOT,DAL,75,113,90.0,14.9
CHARLIE KOLAR,BAL,73,109,92.0,13.4
ELIJAH HIGGINS,ARI,71,87,79.0,6.5
DYLAN PARHAM,FA,38,53,45.5,7.5
MYCOLE PRUITT,PIT,78,84,81.3,2.5
ZAC PARKER,FA,37,62,49.5,12.5
ANDREW OGLETREE,IND,75,90,85.0,7.1
ALBERT OKWUEGBUNAM,PHI,86,117,103.0,13.3
CHARLIE WOERNER,ATL,89,94,90.7,2.4
BRYSON SUMLIN,FA,82,106,91.7,10.3
ZACK KUNTZ,NYJ,85,120,106.8,13.3
JACK STOLL,NYG,89,99,94.7,4.2
KO KIEFT,TB,83,120,109.3,15.3
PAYNE DURHAM,TB,84,106,97.3,9.6
DEVIN CULP,TB,71,122,101.7,22.1
STEPHEN SULLIVAN,CAR,93,124,103.3,14.6
JAMES MITCHELL,DET,100,115,105.7,6.7
ROSS DWELLEY,ATL,107,108,107.3,0.5
DANIEL MARX,FA,76,98,87.0,11.0
JULIAN HILL,MIA,104,110,108.0,2.8
QUINTIN MORRIS,BUF,97,117,108.3,8.4
JOE FORTSON,MIA,84,92,88.0,4.0
TEAGAN QUITORIANO,HOU,103,118,109.3,6.3
JOSIAH DEGUARA,JAC,103,118,109.7,6.2
GEOFF SWAIM,FA,77,105,91.0,14.0
JIMMY GRAHAM,FA,86,97,91.5,5.5
CAMERON LATU,SF,82,137,112.7,22.9
JESPER HORSTED,NO,109,119,114.3,4.1
NICK GUGGEMOS,FA,94,102,98.0,4.0
JACK WESTOVER,SEA,97,99,98.0,1.0
BREVYN SPANN-FORD,DAL,83,145,116.3,25.5
CHRIS MANHERTZ,NYG,96,131,116.7,15.0
TREVON WESCO,FA,98,105,101.5,3.5
BRYCEN HOPKINS,FA,100,104,102.0,2.0
HUNTER LONG,LAR,111,123,118.3,5.3
TYLER KROFT,FA,95,116,105.5,10.5
SEAN MCKEON,DET,111,129,121.7,7.7
BEN SIMS,GB,98,138,122.7,17.6
MARCEDES LEWIS,CHI,105,139,122.7,13.9
ERIC SAUBERT,SF,82,140,111.0,29.0
KENNY YEBOAH,NYJ,116,130,124.0,5.9
TYLER MABRY,SEA,104,119,111.5,7.5
GIOVANNI RICCI,CLE,95,146,125.0,21.8
MITCHELL WILCOX,NE,101,149,127.0,19.8
RODNEY WILLIAMS,PIT,121,132,127.0,4.5
GRANT CALCATERRA,PHI,118,135,127.7,7.1
ANTHONY FIRKSER,FA,101,133,117.0,16.0
TUCKER FISK,FA,113,122,117.5,4.5
SHANE ZYLSTRA,DET,114,147,128.3,13.8
TIM BOYLE,FA,101,135,118.0,17.0
BRAYDEN WILLIS,SF,117,125,121.0,4.0
TOMMY HUDSON,NO,116,127,121.5,5.5
COLE FOTHERINGHAM,LV,110,142,126.0,16.0
DAVID WELLS,TB,112,143,127.5,15.5
NATE ADKINS,DEN,122,133,127.5,5.5
ZACH DAVIDSON,BUF,127,138,132.5,5.5
ERIC TOMLINSON,IND,128,141,134.5,6.5
NOAH TOGIAI,FA,126,144,135.0,9.0
NICK VANNETT,TEN,129,146,137.5,8.5
ANDREW BECK,HOU,136,141,138.5,2.5
CURTIS HODGES,FA,134,149,141.5,7.5
ZACH GENTRY,LV,136,148,142.0,6.0
BLAKE BELL,FA,144,145,144.5,0.5
