PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_TGT,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
1,1,CEEDEE LAMB,DAL,23.7,10.6,7.9,102.9,0.7,0.8,6.6,0.1
2,1,TYREEK HILL,MIA,23.5,10.7,7.4,112.4,0.8,0.4,0.9,0.0
3,1,AMON-RA ST BROWN,DET,20.7,10.3,7.4,94.7,0.6,0.3,1.5,0.0
4,1,JAMARR CHASE,CIN,16.4,9.1,6.3,76.0,0.4,0.2,-0.4,0.0
5,1,JUSTIN JEFFERSON,MIN,20.2,10.0,6.8,107.4,0.5,0.1,-1.2,0.0
6,2,AJ BROWN,PHI,17.0,9.3,6.2,85.6,0.4,0.0,0.0,0.0
7,2,GARRETT WILSON,NYJ,12.5,9.9,5.6,61.3,0.2,0.2,0.0,0.0
8,2,PUKA NACUA,LAR,17.6,9.4,6.2,87.4,0.4,0.7,5.2,0.0
9,3,DAVANTE ADAMS,LV,15.6,10.3,6.1,67.3,0.5,0.0,0.0,0.0
10,3,MARVIN HARRISON,ARI,0,0,0,0,0,0,0,0
11,3,CHRIS OLAVE,NO,14.5,8.6,5.4,70.2,0.3,0.0,0.0,0.0
12,3,DRAKE LONDON,ATL,10.9,6.9,4.3,56.6,0.1,0.0,0.0,0.0
13,3,MICHAEL PITTMAN,IND,15.6,9.8,6.8,72.0,0.3,0.0,0.0,0.0
14,3,BRANDON AIYUK,SF,15.6,6.6,4.7,83.9,0.4,0.0,0.0,0.0
15,3,MIKE EVANS,TB,16.6,8.0,4.6,73.8,0.8,0.0,0.0,0.0
16,3,JAYLEN WADDLE,MIA,14.2,7.4,5.1,72.4,0.3,0.2,0.9,0.0
17,4,NICO COLLINS,HOU,17.4,7.3,5.3,86.5,0.5,0.1,0.5,0.0
18,4,DJ MOORE,CHI,16.9,8.0,5.6,80.2,0.5,0.2,1.2,0.1
19,4,DEEBO SAMUEL,SF,16.2,5.9,4.0,59.5,0.5,2.5,15.0,0.3
20,4,DK METCALF,SEA,14.1,7.4,4.1,69.6,0.5,0.0,0.0,0.0
21,4,COOPER KUPP,LAR,13.7,7.9,4.9,61.4,0.4,0.1,-0.3,0.0
22,4,DEVONTA SMITH,PHI,14.2,7.0,5.1,66.6,0.4,0.0,0.0,0.0
23,4,STEFON DIGGS,HOU,16.1,9.4,6.3,69.6,0.5,0.1,0.3,0.0
24,4,AMARI COOPER,CLE,15.1,8.5,4.8,83.3,0.3,0.0,0.0,0.0
25,4,MALIK NABERS,NYG,0,0,0,0,0,0,0,0
26,5,ZAY FLOWERS,BAL,12.9,6.8,4.8,53.6,0.3,0.5,3.5,0.1
27,5,CHRISTIAN KIRK,JAC,12.5,7.1,4.8,65.6,0.3,0.1,0.5,0.0
28,5,TEE HIGGINS,CIN,11.5,6.3,3.5,54.7,0.4,0.0,0.0,0.0
29,5,KEENAN ALLEN,CHI,21.5,11.5,8.3,95.6,0.5,0.2,0.5,0.0
30,5,GEORGE PICKENS,PIT,12.3,6.2,3.7,67.1,0.3,0.2,1.1,0.0
31,5,TERRY MCLAURIN,WAS,12.0,7.8,4.6,58.9,0.2,0.0,0.0,0.0
32,5,NATHANIEL DELL,HOU,15.0,6.8,4.3,64.5,0.6,1.0,4.6,0.0
33,5,CHRIS GODWIN,TB,12.3,7.6,4.9,60.2,0.1,0.2,2.2,0.1
34,5,CALVIN RIDLEY,TEN,13.5,8.0,4.5,59.8,0.5,0.5,1.4,0.0
