PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
1,1,CEEDEE LAMB,DAL,1,5,1.6,0.8
2,1,TYREEK HILL,MIA,1,5,2.0,1.1
3,1,JAMARR CHASE,CIN,1,6,3.4,1.1
4,1,AMON-RA ST BROWN,DET,1,6,3.6,0.9
5,1,JUSTIN JEFFERSON,MIN,2,8,4.9,1.1
6,2,AJ BROWN,PHI,4,10,6.3,1.0
7,2,GARRETT WILSON,NYJ,3,12,6.8,1.1
8,2,PUKA NACUA,LAR,6,21,9.6,2.9
9,2,MARVIN HARRISON,ARI,6,25,10.6,3.3
10,2,DAVANTE ADAMS,LV,6,22,11.0,2.9
11,2,DRAKE LONDON,ATL,8,21,11.8,2.4
12,3,CHRIS OLAVE,NO,8,22,12.7,3.0
13,3,JAYLEN WADDLE,MIA,8,25,15.9,3.9
14,3,MICHAEL PITTMAN,IND,6,29,16.2,5.2
15,3,MIKE EVANS,TB,8,28,16.4,3.4
16,3,COOPER KUPP,LAR,9,30,16.8,4.8
17,3,NICO COLLINS,HOU,9,33,17.1,4.7
18,3,BRANDON AIYUK,SF,8,29,17.7,4.3
19,3,DEEBO SAMUEL,SF,8,31,19.2,4.5
20,4,DEVONTA SMITH,PHI,12,30,20.5,3.3
21,4,DJ MOORE,CHI,8,32,20.6,4.2
22,4,DK METCALF,SEA,14,30,20.6,4.1
23,4,MALIK NABERS,NYG,10,36,21.6,5.3
24,4,STEFON DIGGS,HOU,12,38,25.1,5.8
25,4,AMARI COOPER,CLE,14,33,25.5,3.4
26,4,RASHEE RICE,KC,11,48,27.6,6.3
27,4,ZAY FLOWERS,BAL,16,42,28.1,4.1
28,4,TERRY MCLAURIN,WAS,17,39,28.1,4.4
29,4,TEE HIGGINS,CIN,17,36,28.4,3.6
30,4,GEORGE PICKENS,PIT,18,45,29.7,4.6
31,4,CHRISTIAN KIRK,JAC,18,43,29.9,4.5
32,5,NATHANIEL DELL,HOU,20,45,30.9,4.8
33,5,CHRIS GODWIN,TB,14,43,31.8,4.9
34,5,KEENAN ALLEN,CHI,20,46,33.3,5.0
35,5,DIONTAE JOHNSON,CAR,22,42,33.6,3.9
36,5,CALVIN RIDLEY,TEN,19,46,34.7,4.2
37,5,JAYDEN REED,GB,27,55,38.6,4.8
38,5,JAXON SMITH-NJIGBA,SEA,19,53,39.1,4.5
39,5,DEANDRE HOPKINS,TEN,34,57,41.7,4.1
40,5,ROME ODUNZE,CHI,32,66,43.0,6.4
41,5,COURTLAND SUTTON,DEN,33,56,43.1,4.5
42,5,XAVIER WORTHY,KC,31,58,43.3,5.9
43,6,CHRISTIAN WATSON,GB,31,59,44.8,5.5
44,6,LADD MCCONKEY,LAC,35,81,45.0,7.7
45,6,JORDAN ADDISON,MIN,33,62,45.6,5.5
46,6,MARQUISE BROWN,KC,30,61,45.6,5.5
47,6,BRIAN THOMAS,JAC,33,92,46.4,7.8
48,6,TYLER LOCKETT,SEA,36,64,48.6,5.7
49,6,JAKOBI MEYERS,LV,38,65,49.6,5.2
50,6,JAMESON WILLIAMS,DET,37,63,51.0,5.7
51,6,KEON COLEMAN,BUF,34,71,51.2,6.8
52,6,JOSH PALMER,LAC,38,71,52.3,6.5
53,6,ROMEO DOUBS,GB,43,74,54.1,5.7
54,6,CURTIS SAMUEL,BUF,40,74,55.0,6.4
55,6,KHALIL SHAKIR,BUF,36,88,55.2,8.7
56,6,RASHID SHAHEED,NO,42,72,56.1,5.3
57,6,BRANDIN COOKS,DAL,40,70,56.5,5.7
58,6,MIKE WILLIAMS,NYJ,43,77,57.7,6.9
59,6,JOSH DOWNS,IND,40,83,58.6,7.6
60,6,JERRY JEUDY,CLE,45,75,59.1,5.3
61,6,ADAM THIELEN,CAR,38,86,62.4,8.2
62,6,GABRIEL DAVIS,JAC,48,86,63.2,6.4
63,6,DONTAYVION WICKS,GB,43,89,63.6,7.4
64,7,DEMARIO DOUGLAS,NE,48,150,66.2,9.8
65,7,ADONAI MITCHELL,IND,50,149,67.5,10.7
66,7,JALYNN POLK,NE,49,155,67.7,12.2
67,7,DARNELL MOONEY,ATL,51,94,67.9,7.8
68,7,MICHAEL WILSON,ARI,51,83,68.3,5.2
69,7,JAHAN DOTSON,PHI,45,96,69.1,10.5
70,7,XAVIER LEGETTE,CAR,57,154,74.0,11.0
71,7,RASHOD BATEMAN,BAL,45,89,70.9,6.7
72,7,WANDALE ROBINSON,NYG,48,86,69.4,6.8
73,7,DEMARCUS ROBINSON,LAR,55,120,77.8,11.3
74,7,RICKY PEARSALL,SF,60,156,78.7,10.7
75,7,MARVIN MIMS,DEN,55,103,76.0,10.0
76,7,QUENTIN JOHNSTON,LAC,51,144,79.3,12.8
77,7,TYLER BOYD,TEN,58,128,80.8,8.2
78,7,DARIUS SLAYTON,NYG,66,134,83.5,8.8
79,7,JERMAINE BURTON,CIN,59,153,80.1,12.8
80,7,JALIN HYATT,NYG,70,99,83.0,6.2
81,7,ROMAN WILSON,PIT,55,158,84.3,11.0
82,7,ELIJAH MOORE,CLE,58,114,81.7,9.5
83,8,JALEN MCMILLAN,TB,63,115,83.1,11.0
84,8,MALACHI CORLEY,NYJ,53,157,88.8,12.6
85,8,ANDREI IOSIVAS,CIN,59,119,88.1,10.9
86,8,KENDRICK BOURNE,NE,65,122,90.0,8.8
87,8,TROY FRANKLIN,DEN,70,152,88.3,14.1
88,8,DJ CHARK,LAC,68,131,90.5,8.6
89,8,JAVON BAKER,NE,65,168,89.3,18.7
90,8,ODELL BECKHAM,MIA,67,118,90.0,7.9
91,8,ZAY JONES,ARI,68,137,93.4,15.2
