PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,TGT,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS
1,1,CEEDEE LAMB,DAL,403.2,181,135,1749,12,14,113,2
2,1,TYREEK HILL,MIA,376.4,171,119,1799,13,6,15,0
3,1,AMON-RA ST BROWN,DET,330.9,164,119,1515,10,4,24,0
4,1,JUSTIN JEFFERSON,MIN,202.2,100,68,1074,5,1,-12,0
5,1,JAMARR CHASE,CIN,262.7,145,100,1216,7,3,-6,0
6,2,AJ BROWN,PHI,289.6,158,106,1456,7,0,0,0
7,2,GARRETT WILSON,NYJ,213.2,168,95,1042,3,4,0,0
8,2,PUKA NACUA,LAR,298.5,160,105,1486,6,12,89,0
9,2,DAVANTE ADAMS,LV,265.4,175,103,1144,8,0,0,0
10,3,MARVIN HARRISON,ARI,0,0,0,0,0,0,0,0
11,3,CHRIS OLAVE,NO,231.3,138,87,1123,5,0,0,0
12,3,DRAKE LONDON,ATL,174.4,110,69,905,2,0,0,0
13,3,MICHAEL PITTMAN,IND,250.2,156,109,1152,4,0,0,0
14,3,BRANDON AIYUK,SF,249.2,105,75,1342,7,0,0,0
15,3,MIKE EVANS,TB,282.5,136,79,1255,13,0,0,0
16,3,JAYLEN WADDLE,MIA,198.6,104,72,1014,4,3,12,0
17,3,DJ MOORE,CHI,286.5,136,96,1364,8,4,21,1
18,3,NICO COLLINS,HOU,260.4,109,80,1297,8,1,7,0
19,4,DK METCALF,SEA,225.4,119,66,1114,8,0,0,0
20,4,DEEBO SAMUEL,SF,243.7,89,60,892,7,37,225,5
21,4,COOPER KUPP,LAR,164.4,95,59,737,5,1,-3,0
22,4,DEVONTA SMITH,PHI,227.6,112,81,1066,7,0,0,0
23,4,STEFON DIGGS,HOU,273.8,160,107,1183,8,1,5,0
24,4,AMARI COOPER,CLE,227,128,72,1250,5,0,0,0
25,4,MALIK NABERS,NYG,0,0,0,0,0,0,0,0
26,4,ZAY FLOWERS,BAL,206.4,108,77,858,5,8,56,1
27,4,CHRISTIAN KIRK,JAC,150.3,85,57,787,3,1,6,0
28,4,TEE HIGGINS,CIN,137.6,76,42,656,5,0,0,0
29,4,KEENAN ALLEN,CHI,278.9,150,108,1243,7,2,6,0
30,4,TERRY MCLAURIN,WAS,203.2,132,79,1002,4,0,0,0
31,4,GEORGE PICKENS,PIT,208.8,106,63,1140,5,3,18,0
32,5,NATHANIEL DELL,HOU,165,75,47,709,7,11,51,0
33,5,CHRIS GODWIN,TB,209.2,130,83,1024,2,4,38,1
34,5,CALVIN RIDLEY,TEN,229.9,136,76,1016,8,9,23,0
35,5,DIONTAE JOHNSON,CAR,152.7,87,51,717,5,0,0,0
36,5,JAYDEN REED,GB,217.2,94,64,793,8,11,119,2
37,5,DEANDRE HOPKINS,TEN,223.6,137,75,1057,7,2,9,0
