PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
CEEDEE LAMB,DAL,1,4,1.4,0.7
TYREEK HILL,MIA,1,3,2.1,0.6
JAMARR CHASE,CIN,1,5,3.0,0.9
JUSTIN JEFFERSON,MIN,3,8,4.1,1.0
AMON-RA ST BROWN,DET,2,7,5.0,0.8
AJ BROWN,PHI,3,8,5.9,0.9
GARRETT WILSON,NYJ,4,13,7.7,1.7
PUKA NACUA,LAR,6,18,8.0,1.7
DEEBO SAMUEL,SF,7,22,11.3,3.1
MIKE EVANS,TB,8,20,11.5,2.6
MARVIN HARRISON,ARI,7,19,11.8,2.6
BRANDON AIYUK,SF,8,20,11.9,3.0
CHRIS OLAVE,NO,8,24,14.4,2.7
NICO COLLINS,HOU,9,28,14.9,4.2
DRAKE LONDON,ATL,10,27,15.0,3.2
DAVANTE ADAMS,LV,8,27,15.8,3.4
DK METCALF,SEA,10,24,16.2,3.5
DJ MOORE,CHI,11,25,18.2,3.4
JAYLEN WADDLE,MIA,11,26,18.3,3.1
AMARI COOPER,CLE,12,31,21.2,3.4
DEVONTA SMITH,PHI,16,29,22.3,3.0
COOPER KUPP,LAR,12,36,22.4,4.4
GEORGE PICKENS,PIT,16,38,24.3,5.0
TEE HIGGINS,CIN,16,33,25.0,3.6
MALIK NABERS,NYG,16,35,25.0,4.5
MICHAEL PITTMAN,IND,17,33,25.2,3.8
NATHANIEL DELL,HOU,18,41,27.0,5.0
STEFON DIGGS,HOU,20,38,27.5,4.2
ZAY FLOWERS,BAL,16,45,28.9,4.3
CHRISTIAN KIRK,JAC,22,46,31.1,3.8
TERRY MCLAURIN,WAS,25,39,31.8,3.4
CALVIN RIDLEY,TEN,18,43,33.3,5.3
JAYDEN REED,GB,27,45,34.6,4.5
KEENAN ALLEN,CHI,26,42,34.6,4.0
DIONTAE JOHNSON,CAR,23,49,35.3,5.0
CHRIS GODWIN,TB,24,50,36.1,4.8
RASHEE RICE,KC,17,50,36.5,6.8
MARQUISE BROWN,KC,26,55,38.0,5.7
CHRISTIAN WATSON,GB,21,50,38.3,5.5
DEANDRE HOPKINS,TEN,30,51,38.6,4.7
XAVIER WORTHY,KC,31,56,42.1,5.5
JORDAN ADDISON,MIN,33,57,43.4,5.1
COURTLAND SUTTON,DEN,35,61,44.0,4.4
ROME ODUNZE,CHI,31,70,44.8,7.5
LADD MCCONKEY,LAC,34,73,45.5,7.1
JAMESON WILLIAMS,DET,31,64,45.9,5.5
JAXON SMITH-NJIGBA,SEA,38,59,46.5,4.7
BRIAN THOMAS,JAC,34,64,48.7,6.5
TYLER LOCKETT,SEA,40,62,51.0,4.8
KEON COLEMAN,BUF,33,92,51.8,8.4
RASHID SHAHEED,NO,41,69,52.5,6.2
JAKOBI MEYERS,LV,42,69,53.0,4.9
CURTIS SAMUEL,BUF,35,70,53.4,7.4
MIKE WILLIAMS,NYJ,42,80,54.3,7.3
BRANDIN COOKS,DAL,45,68,54.7,4.8
JOSH PALMER,LAC,39,79,55.4,7.8
ROMEO DOUBS,GB,44,71,56.2,5.3
GABRIEL DAVIS,JAC,44,69,58.7,5.6
KHALIL SHAKIR,BUF,39,95,59.6,9.3
JERRY JEUDY,CLE,46,75,59.7,5.8
JOSH DOWNS,IND,50,87,60.5,5.9
JAHAN DOTSON,WAS,46,86,62.0,6.6
DONTAYVION WICKS,GB,44,84,64.4,7.5
ADONAI MITCHELL,IND,44,85,65.8,7.8
MICHAEL WILSON,ARI,55,89,69.0,5.7
ADAM THIELEN,CAR,52,95,69.4,7.5
DEMARIO DOUGLAS,NE,54,92,69.7,7.3
JALYNN POLK,NE,47,95,70.9,9.7
DARNELL MOONEY,ATL,49,91,69.4,8.2
RASHOD BATEMAN,BAL,52,85,69.9,6.6
MARVIN MIMS,DEN,57,100,69.7,6.8
XAVIER LEGETTE,CAR,56,97,72.0,8.6
JERMAINE BURTON,CIN,54,115,74.9,11.0
QUENTIN JOHNSTON,LAC,59,103,72.4,7.6
WANDALE ROBINSON,NYG,60,92,77.1,5.6
TROY FRANKLIN,DEN,61,105,78.3,9.0
DEMARCUS ROBINSON,LAR,57,107,79.9,11.3
RICKY PEARSALL,SF,44,99,74.1,9.2
JAVON BAKER,NE,60,111,82.2,11.5
ROMAN WILSON,PIT,53,104,77.9,8.8
ELIJAH MOORE,CLE,63,109,80.8,8.6
DARIUS SLAYTON,NYG,61,101,81.6,7.4
JALIN HYATT,NYG,61,113,83.0,8.1
MALACHI CORLEY,NYJ,55,116,85.3,10.9
TYLER BOYD,TEN,71,126,87.7,8.5
DJ CHARK,LAC,67,121,87.9,9.8
KENDRICK BOURNE,NE,70,106,88.5,7.5
RONDALE MOORE,ATL,72,113,90.9,7.7
AT PERRY,NO,67,109,91.3,8.3
ODELL BECKHAM,MIA,70,104,88.4,8.0
ZAY JONES,ARI,71,136,88.8,11.5
TREYLON BURKS,TEN,75,136,92.0,11.1
JALEN MCMILLAN,TB,65,117,91.5,11.1
JONATHAN MINGO,CAR,77,121,94.9,9.4
DEVONTEZ WALKER,BAL,79,137,95.9,9.3
TREY PALMER,TB,71,150,99.8,9.5
ANDREI IOSIVAS,CIN,67,134,97.9,11.6
JOSH REYNOLDS,DEN,82,114,97.9,6.8
ALEC PIERCE,IND,79,131,96.3,10.1
CEDRIC TILLMAN,CLE,86,119,100.5,7.0
KJ OSBORN,NE,82,124,99.9,8.5
KADARIUS TONEY,KC,85,132,103.8,8.3
NOAH BROWN,HOU,87,120,102.4,5.7
LUKE MCCAFFREY,WAS,70,120,94.9,12.5
BRENDEN RICE,LAC,86,148,107.5,14.7
TYLER SCOTT,CHI,99,145,111.0,9.2
JACOB COWING,SF,92,155,107.2,12.0
ROBERT WOODS,HOU,99,164,112.8,10.6
GREG DORTCH,ARI,77,153,99.9,14.6
MICHAEL THOMAS,FA,89,165,110.5,12.6
JALEN TOLBERT,DAL,76,132,96.8,13.7
CHATARIUS ATWELL,LAR,93,152,106.9,10.0
MARQUEZ VALDES-SCANTLING,BUF,91,144,112.8,12.9
MALIK WASHINGTON,MIA,82,147,108.4,14.1
TRE TUCKER,LV,84,145,110.4,12.9
NELSON AGHOLOR,BAL,89,146,110.5,11.3
KALIF RAYMOND,DET,80,144,109.4,15.2
BO MELTON,GB,96,142,114.9,10.8
JUJU SMITH-SCHUSTER,NE,97,154,117.8,13.0
ALLEN LAZARD,NYJ,93,157,113.0,14.8
VAN JEFFERSON,PIT,80,145,118.9,13.6
DONOVAN PEOPLES-JONES,DET,103,150,119.0,9.6
JAUAN JENNINGS,SF,93,135,116.0,10.3
CALVIN AUSTIN,PIT,94,134,116.5,9.4
SKYY MOORE,KC,104,148,121.5,10.7
JOHN METCHIE,HOU,102,151,122.9,12.6
XAVIER GIPSON,NYJ,101,167,119.3,14.1
PARRIS CAMPBELL,PHI,94,159,121.7,17.8
TIM PATRICK,DEN,94,145,122.0,11.6
HUNTER RENFROW,FA,108,141,123.5,9.8
PARKER WASHINGTON,JAC,105,169,127.8,13.2
JUSTIN WATSON,KC,92,155,123.3,15.0
JOHNNY WILSON,PHI,100,144,125.8,13.3
AINIAS SMITH,PHI,107,144,127.1,10.4
CEDRICK WILSON,NO,104,153,126.5,13.0
BRANDON POWELL,MIN,94,143,121.2,14.2
MACK HOLLINS,BUF,109,153,132.8,11.5
CHASE CLAYPOOL,BUF,113,158,133.0,13.0
NICK WESTBROOK,TEN,121,147,134.5,7.8
QUEZ WATKINS,PIT,112,205,141.6,20.5
JAMARI THRASH,CLE,122,154,138.2,8.6
TRENTON IRWIN,CIN,112,144,132.3,8.3
