"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS"
"1",1,"Travis Kelce",KC,"13.9"
"2",1,"George Kittle",SF,"9.6"
"3",1,"Darren Waller",LV,"10.7"
"4",2,"Mark Andrews",BAL,"8.0"
"5",2,"T.J. Hockenson",DET,"6.8"
"6",2,"Kyle Pitts",ATL,"0"
"7",2,"Dallas Goedert",PHI,"6.4"
"8",2,"Noah Fant",DEN,"5.8"
"9",2,"Robert Tonyan",GB,"7.8"
"10",3,"Tyler Higbee",LAR,"5.6"
"11",3,"Mike Gesicki",MIA,"7.1"
"12",3,"Logan Thomas",WAS,"6.5"
"13",3,"Irv Smith Jr.",MIN,"5.3"
"14",3,"Rob Gronkowski",TB,"6.5"
"15",3,"Jonnu Smith",NE,"6.6"
"16",4,"Hunter Henry",NE,"6.1"
"17",4,"Evan Engram",NYG,"4.9"
"18",4,"Blake Jarwin",DAL,"1.2"
"19",4,"Adam Trautman",NO,"1.5"
"20",4,"Jared Cook",LAC,"6.0"
"21",4,"Austin Hooper",CLE,"5.2"
"22",4,"Cole Kmet",CHI,"2.1"
"23",4,"Gerald Everett",SEA,"3.2"
"24",4,"Eric Ebron",PIT,"5.7"
"25",4,"Zach Ertz",PHI,"3.8"
"26",4,"Anthony Firkser",TEN,"2.8"
"27",4,"Dawson Knox",BUF,"3.6"
"28",5,"Hayden Hurst",ATL,"5.8"
"29",5,"O.J. Howard",TB,"6.7"
"30",5,"Dan Arnold",CAR,"4.1"
"31",5,"Chris Herndon IV",NYJ,"2.7"
"32",5,"Jack Doyle",IND,"2.9"
"33",5,"Jimmy Graham",CHI,"5.8"
"34",5,"Kyle Rudolph",NYG,"3.1"
"35",6,"Ian Thomas",CAR,"1.3"
"36",6,"Dalton Schultz",DAL,"5.2"
"37",6,"Will Dissly",SEA,"2.3"
"38",6,"Mo Alie-Cox",IND,"3.3"
"39",6,"Jordan Akins",HOU,"3.6"
"40",6,"David Njoku",CLE,"2.6"
"41",6,"Donald Parham Jr.",LAC,"2.6"
"42",6,"Harrison Bryant",CLE,"2.5"
"43",6,"C.J. Uzomah",CIN,"7.3"
"44",6,"Pat Freiermuth",PIT,"0"
"45",6,"Drew Sample",CIN,"2.4"
"46",6,"Albert Okwuegbunam",DEN,"4.5"
"47",7,"Tyler Conklin",MIN,"1.6"
"48",7,"Cameron Brate",TB,"2.5"
"49",7,"Tyler Eifert",FA,"3.1"
"50",7,"Jacob Hollister",BUF,"2.6"
"51",7,"Brevin Jordan",HOU,"0"
"52",7,"Foster Moreau",LV,"1.6"
"53",7,"Maxx Williams",ARI,"1.8"
"54",7,"Hunter Long",MIA,"0"
"55",7,"Geoff Swaim",TEN,"1.4"
"56",7,"James O'Shaughnessy",JAC,"1.7"
"57",7,"Jace Sternberger",GB,"1.4"
"58",7,"Darren Fells",DET,"3.5"
"59",7,"Ryan Griffin",NYJ,"0.6"
"60",7,"Brycen Hopkins",LAR,"0.0"
"61",8,"Tommy Tremble",CAR,"0"
"62",8,"Kahale Warring",HOU,"0.5"
"63",8,"Jacob Harris",LAR,"0"
"64",8,"Kylen Granson",IND,"0"
"65",8,"Tyler Kroft",NYJ,"3.0"
"66",8,"Josh Oliver",BAL,"0"
"67",8,"Tim Tebow",JAC,"0"
"68",8,"Noah Gray",KC,"0"
"69",8,"Nick Boyle",BAL,"2.6"
"70",8,"Trey Burton",FA,"4.3"
"71",8,"Tre' McKitty",LAC,"0"
"72",8,"Richard Rodgers",PHI,"3.3"
"73",8,"Nick Vannett",NO,"1.0"
"74",8,"Adam Shaheen",MIA,"2.1"
"75",8,"Ross Dwelley",SF,"1.9"
"76",8,"Devin Asiasi",NE,"1.2"
"77",8,"Josiah Deguara",GB,"0.6"
"78",9,"Chris Manhertz",JAC,"0.3"
"79",9,"Hunter Bryant",DET,"0.9"
"80",9,"Kenny Yeboah",NYJ,"0"
"81",9,"Darrell Daniels",ARI,"1.3"
"82",9,"Marcedes Lewis",GB,"1.9"
"83",9,"John Bates",WAS,"0"
"84",9,"Colby Parkinson",SEA,"0.3"
"85",9,"Blake Bell",KC,"0.7"
"86",9,"Pharaoh Brown",HOU,"2.2"
"87",9,"Johnny Mundt",LAR,"0.3"
"88",9,"Durham Smythe",MIA,"2.2"
"89",9,"Ryan Izzo",HOU,"1.5"
"90",9,"Dalton Keene",NE,"0.3"
"91",9,"Nick Keizer",KC,"0.3"
"92",9,"Jared Pinkney",TEN,"0"
"93",9,"Luke Farrell",JAC,"0"
"94",9,"Jeremy Sprinkle",DAL,"0.0"
"95",9,"Jaeden Graham",ATL,"0.2"
"96",9,"Thaddeus Moss",CIN,"0"
"97",9,"Troy Fumagalli",NE,"1.8"
"98",9,"Zach Davidson",MIN,"0"
"99",9,"Tommy Sweeney",BUF,"0"
"100",10,"Hunter Thedford",DET,"0"
"101",10,"Charlie Woerner",SF,"0.3"
"102",10,"Ethan Wolf",NO,"0"
"103",10,"Garrett Griffin",NO,"0.0"
"104",10,"Tyler Davis",JAC,"0.0"
"105",10,"Jordan Thomas",IND,"1.1"
"106",10,"Kaden Smith",NYG,"0.7"
