"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Travis Kelce",KC,"1","2","1.0","0.1","0"
"2",1,"Mark Andrews",BAL,"1","4","2.2","0.4","0"
"3",1,"T.J. Hockenson",MIN,"2","7","3.5","1.0","0"
"4",2,"Darren Waller",NYG,"2","9","4.4","1.5","+1"
"5",2,"George Kittle",SF,"2","12","5.5","1.4","-1"
"6",2,"Dallas Goedert",PHI,"3","10","6.1","1.4","+1"
"7",2,"Kyle Pitts",ATL,"3","12","6.3","1.6","-1"
"8",2,"Evan Engram",JAC,"4","15","8.6","1.5","0"
"9",2,"Pat Freiermuth",PIT,"6","14","8.9","1.4","+1"
"10",3,"David Njoku",CLE,"7","23","10.4","2.0","-1"
"11",3,"Dalton Schultz",HOU,"8","25","12.6","3.2","0"
"12",3,"Tyler Higbee",LAR,"8","19","12.7","2.6","+2"
"13",3,"Chigoziem Okonkwo",TEN,"9","23","14.3","2.6","+2"
"14",3,"Cole Kmet",CHI,"9","26","15.8","3.5","-2"
"15",3,"Dalton Kincaid",BUF,"6","34","15.4","4.1","-2"
"16",3,"Gerald Everett",LAC,"10","29","17.2","3.7","+1"
"17",3,"Greg Dulcich",DEN,"9","31","17.4","4.3","+1"
"18",3,"Juwan Johnson",NO,"10","44","18.6","4.6","-2"
"19",4,"Sam LaPorta",DET,"11","43","18.7","5.7","0"
"20",4,"Irv Smith Jr.",CIN,"14","35","22.5","4.0","+5"
"21",4,"Hayden Hurst",CAR,"13","32","22.6","3.8","+8"
"22",4,"Hunter Henry",NE,"13","41","24.1","4.9","+8"
"23",4,"Dawson Knox",BUF,"16","37","25.2","4.9","0"
"24",4,"Mike Gesicki",NE,"14","40","26.5","5.1","-2"
"25",4,"Trey McBride",ARI,"15","54","26.4","5.2","+10"
"26",4,"Zach Ertz",ARI,"15","58","28.7","6.1","-6"
"27",4,"Noah Fant",SEA,"17","38","27.6","4.1","+4"
"28",4,"Michael Mayer",LV,"19","42","28.8","4.7","-2"
"29",5,"Cade Otton",TB,"18","43","29.9","4.8","+10"
"30",5,"Jelani Woods",IND,"18","40","31.4","4.1","-"
"31",5,"Taysom Hill",NO,"15","60","32.1","6.1","-10"
"32",5,"Jake Ferguson",DAL,"13","45","23.9","6.6","-5"
"33",5,"Isaiah Likely",BAL,"21","44","32.7","4.0","0"
