PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
Travis Kelce,KC,1,2,1,0.1
George Kittle,SF,2,4,2.2,0.5
Darren Waller,LV,1,4,2.9,0.4
Mark Andrews,BAL,2,7,4.9,0.9
T.J. Hockenson,DET,3,15,5.3,1.4
Kyle Pitts,ATL,1,34,5.9,3.7
Dallas Goedert,PHI,5,22,8.8,2.4
Noah Fant,DEN,6,18,9.2,2
Robert Tonyan,GB,5,15,9.2,2.1
Tyler Higbee,LAR,6,25,11.2,3.3
Mike Gesicki,MIA,5,20,11.4,2.4
Logan Thomas,WAS,6,21,11.5,2.9
Irv Smith Jr.,MIN,7,32,13.6,3.7
Rob Gronkowski,TB,7,31,14.9,3.8
Jonnu Smith,NE,6,32,16.3,3.3
Hunter Henry,NE,8,30,17.9,3.7
Evan Engram,NYG,7,29,18.1,3
Blake Jarwin,DAL,9,32,19.6,3.8
Adam Trautman,NO,7,39,18.9,7
Jared Cook,LAC,9,34,20.6,4.7
Austin Hooper,CLE,10,31,20.9,4.1
Cole Kmet,CHI,10,33,21.3,3.3
Gerald Everett,SEA,9,33,22,4.5
Eric Ebron,PIT,12,41,24.9,3.1
Zach Ertz,PHI,6,39,24.6,4.1
Anthony Firkser,TEN,14,48,23.6,5.8
Dawson Knox,BUF,16,50,28.2,4.3
Hayden Hurst,ATL,14,40,27.1,4.8
O.J. Howard,TB,16,42,28.3,3.1
Dan Arnold,CAR,13,45,30.4,4.8
Chris Herndon IV,NYJ,24,45,32.3,4.3
Jack Doyle,IND,15,50,32.7,4.9
Jimmy Graham,CHI,24,53,34.2,4.9
Kyle Rudolph,NYG,30,62,38.5,5.9
Ian Thomas,CAR,30,85,40.9,9.7
Dalton Schultz,DAL,12,49,35.6,6.5
Will Dissly,SEA,23,48,37.9,4.6
Mo Alie-Cox,IND,18,55,34.8,7.9
Jordan Akins,HOU,22,51,36.7,6.4
David Njoku,CLE,25,58,41.6,6.4
Donald Parham Jr.,LAC,13,64,38.7,6.9
Harrison Bryant,CLE,28,64,41.4,6.4
C.J. Uzomah,CIN,17,58,37.6,7.8
Pat Freiermuth,PIT,19,66,42.8,8.3
Drew Sample,CIN,31,58,45.6,6.7
Albert Okwuegbunam,DEN,26,62,43.6,6.8
Tyler Conklin,MIN,30,61,43.1,8.4
Cameron Brate,TB,38,67,48.1,4.8
Tyler Eifert,FA,31,66,41.3,9.1
Jacob Hollister,BUF,30,63,44.8,7.1
Brevin Jordan,HOU,32,78,48.4,9.3
Foster Moreau,LV,35,58,48.9,5.4
Maxx Williams,ARI,25,68,45.3,9.7
Hunter Long,MIA,39,96,56.8,12.6
Geoff Swaim,TEN,38,67,54,5.8
James O'Shaughnessy,JAC,38,70,53.1,9.3
Jace Sternberger,GB,46,80,57.9,8.2
Darren Fells,DET,41,86,57.6,11
Ryan Griffin,NYJ,39,71,55.7,7.5
Brycen Hopkins,LAR,38,92,57,11.3
Tommy Tremble,CAR,32,93,64.5,16
Kahale Warring,HOU,48,89,60.8,13.3
Jacob Harris,LAR,31,61,46.7,10
Kylen Granson,IND,26,68,61.5,4.8
Tyler Kroft,NYJ,22,79,53.4,12.8
Josh Oliver,BAL,45,134,65.8,23.4
Tim Tebow,JAC,18,90,53.1,15.5
Noah Gray,KC,26,107,59.7,23.1
Nick Boyle,BAL,36,65,55.6,6.6
Trey Burton,FA,42,63,53.8,6.1
Tre' McKitty,LAC,43,82,65.4,11.1
Richard Rodgers,PHI,35,114,57,24.2
Nick Vannett,NO,38,69,59.9,5.2
