PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
1,1,Davante Adams,GB,1,3,1.2,0.5
2,1,Tyreek Hill,KC,1,8,2.8,1.4
3,1,Stefon Diggs,BUF,1,6,3.1,1.1
4,1,DeAndre Hopkins,ARI,2,7,4,1.3
5,2,Calvin Ridley,ATL,1,9,4.7,1.3
6,2,Justin Jefferson,MIN,4,14,7.7,1.9
7,2,D.K. Metcalf,SEA,4,16,7.8,2.1
8,2,A.J. Brown,TEN,3,16,8,2.3
9,2,Keenan Allen,LAC,3,24,8.3,2.5
10,2,Allen Robinson II,CHI,6,14,9.5,1.6
11,3,Terry McLaurin,WAS,7,17,10.9,1.7
12,3,CeeDee Lamb,DAL,5,27,13,3.2
13,3,Robert Woods,LAR,9,24,14.2,2.9
14,3,Amari Cooper,DAL,10,25,15.6,3
15,3,Chris Godwin,TB,9,29,16.3,3.3
16,3,Mike Evans,TB,10,30,17.3,3.2
17,4,Cooper Kupp,LAR,11,25,17.9,3
18,4,D.J. Moore,CAR,11,31,18.3,3.5
19,4,Diontae Johnson,PIT,11,30,18.7,3.6
20,4,Julio Jones,TEN,10,36,18.8,4.7
21,4,Tyler Lockett,SEA,12,30,19.4,3.8
22,4,Adam Thielen,MIN,15,41,23.5,3.9
23,4,Tee Higgins,CIN,13,35,23.6,4.7
24,4,Brandon Aiyuk,SF,15,36,25.3,4
25,5,Odell Beckham Jr.,CLE,19,47,28.7,5.1
26,5,Ja'Marr Chase,CIN,19,57,29.2,5.8
27,5,Chase Claypool,PIT,19,44,29.3,4.7
28,5,JuJu Smith-Schuster,PIT,19,49,29.5,6.2
29,5,Kenny Golladay,NYG,16,49,29.7,5.8
30,5,Robby Anderson,CAR,15,48,30.4,6.2
31,5,Jerry Jeudy,DEN,17,47,30.6,6.1
32,5,Tyler Boyd,CIN,21,46,31.2,5.1
33,5,Courtland Sutton,DEN,24,50,33.2,4.7
34,5,Brandin Cooks,HOU,19,52,35.7,6.2
35,5,Deebo Samuel,SF,24,59,35.9,6.2
36,5,D.J. Chark Jr.,JAC,22,68,38.6,7.9
37,5,Corey Davis,NYJ,24,60,39.1,7.3
38,5,Will Fuller V,MIA,24,56,39.1,6.5
39,5,DeVonta Smith,PHI,22,69,39.8,7.9
40,5,Antonio Brown,TB,23,69,40.2,8.2
41,5,Laviska Shenault Jr.,JAC,23,70,40.6,6.6
42,5,Jarvis Landry,CLE,25,56,41,5.4
43,6,Curtis Samuel,WAS,25,64,43.5,6.8
44,6,Michael Gallup,DAL,31,65,46,6
45,6,Michael Thomas,NO,8,93,46.9,14.2
46,6,Mike Williams,LAC,30,69,46,7.2
47,6,Marvin Jones Jr.,JAC,28,65,47.8,7.2
48,6,Michael Pittman Jr.,IND,36,67,50.1,6.8
49,6,Darnell Mooney,CHI,27,78,50.3,8.1
50,6,DeVante Parker,MIA,32,69,50.5,7.8
51,6,Jaylen Waddle,MIA,32,86,50.7,9
52,6,Marquise Brown,BAL,38,80,52.7,7.1
53,6,Mecole Hardman,KC,39,75,58.2,8.4
54,6,Elijah Moore,NYJ,36,107,57.5,12.9
55,6,T.Y. Hilton,IND,41,84,59.2,7.1
56,7,Russell Gage,ATL,30,84,58.4,10.2
57,7,Henry Ruggs III,LV,34,82,60.7,8.3
58,7,Cole Beasley,BUF,32,92,58.6,10.3
59,7,Sterling Shepard,NYG,45,96,60.6,8.6
60,7,Jakobi Meyers,NE,26,98,61.4,12.9
61,7,Jalen Reagor,PHI,44,97,63.3,8.8
62,7,Nelson Agholor,NE,49,101,63.1,8.9
63,7,Jamison Crowder,NYJ,39,102,65.8,10.9
64,7,Rondale Moore,ARI,43,113,66,12.8
65,7,Rashod Bateman,BAL,42,107,66.5,13.1
66,7,Emmanuel Sanders,BUF,44,86,66.7,7.9
67,7,Tre'Quan Smith,NO,39,374,71.9,29.7
68,7,Gabriel Davis,BUF,42,111,70.5,10.9
69,7,Parris Campbell,IND,38,110,70.9,10.3
70,7,Christian Kirk,ARI,48,96,70.9,8.8
71,7,Bryan Edwards,LV,42,127,73.1,12.5
72,7,Terrace Marshall Jr.,CAR,43,116,72.1,13.6
73,7,John Brown,LV,49,110,69.3,10.5
74,7,Amon-Ra St. Brown,DET,51,120,75.3,12.9
75,7,Breshad Perriman,DET,54,109,74.6,9.9
76,7,A.J. Green,ARI,43,106,75.9,8.7
77,7,Darius Slayton,NYG,57,115,77.2,10.5
78,8,Randall Cobb,GB,46,118,78.3,12.5
79,8,Allen Lazard,GB,56,105,79.2,9.9
80,8,Sammy Watkins,BAL,43,115,80.5,9.7
81,8,Marquez Callaway,NO,36,157,64.6,24
