"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Justin Jefferson",MIN,"368.7","184","128","1809","8","4","24","1"
"2",1,"Ja'Marr Chase",CIN,"242.4","134","87","1046","9","5","8","0"
"3",1,"Cooper Kupp",LAR,"201.4","98","75","812","6","9","52","1"
"4",1,"Tyreek Hill",MIA,"341.2","170","119","1710","7","7","32","1"
"5",2,"Stefon Diggs",BUF,"321.2","156","110","1455","11","1","-3","0"
"6",2,"CeeDee Lamb",DAL,"301.6","156","107","1359","9","10","47","0"
"7",2,"Amon-Ra St. Brown",DET,"267.6","146","106","1161","6","9","95","0"
"8",2,"A.J. Brown",PHI,"299.6","145","88","1496","11","0","0","0"
"9",2,"Davante Adams",LV,"335.5","180","100","1516","14","3","-1","0"
"10",3,"Garrett Wilson",NYJ,"215.7","147","83","1103","4","4","4","0"
"11",3,"Jaylen Waddle",MIA,"259.2","117","75","1356","8","3","26","0"
"12",3,"Chris Olave",NO,"198.2","119","72","1042","4","0","0","0"
"13",3,"DeVonta Smith",PHI,"254.6","136","95","1196","7","0","0","0"
"14",3,"Keenan Allen",LAC,"164","89","66","752","4","1","8","0"
"15",3,"Tee Higgins",CIN,"223.2","110","75","1042","7","0","0","0"
"16",3,"DK Metcalf",SEA,"226.8","141","90","1048","6","0","0","0"
"17",4,"Calvin Ridley",JAC,"0","0","0","0","0","0","0","0"
"18",4,"Amari Cooper",CLE,"247","132","78","1160","9","0","0","0"
"19",4,"Deebo Samuel",SF,"168.4","94","56","632","2","42","232","3"
"20",4,"Chris Godwin",TB,"222.8","142","104","1023","3","3","5","0"
"21",4,"DeAndre Hopkins",TEN,"151.7","96","64","717","3","0","0","0"
"22",4,"DJ Moore",CHI,"199.1","118","63","888","7","10","53","0"
"23",4,"Drake London",ATL,"178.6","117","72","866","4","0","0","0"
"24",4,"Terry McLaurin",WAS,"229","120","77","1191","5","7","29","0"
"25",4,"Diontae Johnson",PIT,"180.7","147","86","882","0","7","25","0"
"26",4,"Christian Watson",GB,"164.1","65","41","611","7","7","80","2"
"27",5,"Tyler Lockett",SEA,"237.3","117","84","1033","9","0","0","0"
"28",5,"Brandon Aiyuk",SF,"227.8","114","78","1015","8","2","23","0"
"29",5,"Mike Williams",LAC,"176.5","93","63","895","4","0","0","0"
"30",5,"Jerry Jeudy",DEN,"204.2","100","67","972","6","4","40","0"
"31",5,"Christian Kirk",JAC,"241.9","133","84","1108","8","5","11","0"
"32",5,"Marquise Brown",ARI,"156","107","67","709","3","1","1","0"
"33",5,"Michael Pittman Jr.",IND,"216.5","141","99","925","4","3","30","0"
"34",5,"Mike Evans",TB,"225.4","127","77","1124","6","0","0","0"
"35",5,"Jahan Dotson",WAS,"130.6","61","35","523","7","2","-7","0"
"36",5,"George Pickens",PIT,"166.5","84","52","801","4","3","24","1"
"37",5,"Jordan Addison",MIN,"0","0","0","0","0","0","0","0"
"38",6,"Brandin Cooks",DAL,"145.6","93","57","699","3","2","7","0"
"39",6,"Gabe Davis",BUF,"171.6","93","48","836","7","0","0","0"
"40",6,"Courtland Sutton",DEN,"159.4","109","64","829","2","1","5","0"
"41",6,"Jaxon Smith-Njigba",SEA,"0","0","0","0","0","0","0","0"
"42",6,"Treylon Burks",TEN,"88.1","54","33","444","1","4","47","0"
"43",6,"Zay Flowers",BAL,"0","0","0","0","0","0","0","0"
"44",6,"JuJu Smith-Schuster",NE,"185.3","101","78","933","3","0","0","0"
"45",6,"Michael Thomas",NO,"51.1","22","16","171","3","0","0","0"
"46",6,"Elijah Moore",CLE,"88.1","65","37","446","1","5","5","0"
