"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"FAN PTS","REC_TGT","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"1",1,"Tyreek Hill",KC,"241.9","135","87","1276","15","13","123","2"
"2",1,"Davante Adams",GB,"243.4","149","115","1374","18","0","0","0"
"3",1,"Stefon Diggs",BUF,"201.6","166","127","1535","8","1","1","0"
"4",2,"Calvin Ridley",ATL,"191.5","143","90","1374","9","5","1","0"
"5",2,"DeAndre Hopkins",ARI,"172.8","160","115","1407","6","1","1","0"
"6",2,"D.K. Metcalf",SEA,"188.3","129","83","1303","10","0","0","0"
"7",2,"A.J. Brown",TEN,"177.5","106","70","1075","11","0","0","0"
"8",2,"Justin Jefferson",MIN,"186.2","125","88","1400","7","1","2","0"
"9",3,"Terry McLaurin",WAS,"136.8","134","87","1118","4","2","30","0"
"10",3,"Allen Robinson II",CHI,"160.9","151","102","1250","6","1","-1","0"
"11",3,"Mike Evans",TB,"178.6","109","70","1006","13","0","0","0"
"12",3,"Keenan Allen",LAC,"145.1","147","100","992","8","1","-1","0"
"13",3,"CeeDee Lamb",DAL,"143.7","111","74","935","5","10","82","1"
"14",3,"Chris Godwin",TB,"126","84","65","840","7","0","0","0"
"15",3,"Julio Jones",TEN,"95.1","68","51","771","3","0","0","0"
"16",3,"Amari Cooper",DAL,"144.8","130","92","1114","5","6","14","0"
"17",3,"Robert Woods",LAR,"155.1","129","90","936","6","24","155","2"
"18",3,"D.J. Moore",CAR,"145.5","118","66","1193","4","2","22","0"
"19",4,"Adam Thielen",MIN,"180","108","74","925","14","3","15","0"
"20",4,"Kenny Golladay",NYG,"45.8","32","20","338","2","0","0","0"
"21",4,"Cooper Kupp",LAR,"116.7","124","92","974","3","4","33","0"
"22",4,"Tyler Lockett",SEA,"165.4","132","100","1054","10","0","0","0"
"23",4,"Brandon Aiyuk",SF,"124.5","96","60","748","5","6","77","2"
"24",4,"Tee Higgins",CIN,"127.6","108","67","908","6","5","28","0"
"25",4,"Odell Beckham Jr.",CLE,"63.82","43","23","319","3","3","72","1"
